month,Day,max,min,strand1,strand2,
nov,18,11.8,4.7,4,3,
nov,19,9.9,3.7,4,2,
nov,20,12.4,9.2,5,4,
nov,21,13.8,11.2,5,4,
nov,22,15.4,11.8,5,4,
nov,23,11.9,6.7,4,3,
nov,24,9.2,1.9,4,2,
nov,25,7.4,1.3,3,2,
nov,26,9.4,3.8,4,2,
nov,27,10.8,5.2,4,3,
nov,28,8.1,2.1,4,2,
nov,29,7.2,1.2,3,2,
nov,30,5,1.2,3,2,
dec,1,6.7,1.9,3,2,
dec,2,9.1,3.4,4,2,
dec,3,10.8,5.2,4,3,
dec,4,9.9,4.4,4,3,
dec,5,8.7,7.3,4,3,
dec,6,11,8.7,4,4,
dec,7,13.1,4.7,5,3,
dec,8,4.8,1.7,3,2,
dec,9,4.7,0.6,3,2,
dec,10,4.8,0.6,3,2,
dec,11,3.2,-0.4,2,1,
dec,12,8,-1.6,3,1,
dec,13,8.8,3.2,4,2,
dec,14,6.4,3.9,3,2,
dec,15,6.6,2.3,3,2,
dec,16,7.6,1.7,3,2,
dec,17,10.4,2.1,4,2,
dec,18,8.8,2.3,4,2,
dec,19,9,1,4,2,
dec,20,11.3,9,4,4,
dec,21,10.8,9.9,4,4,
dec,22,10.8,9.4,4,4,
dec,23,9.4,8.3,4,4,
dec,24,9.9,8.2,4,4,
dec,25,11.8,4.8,4,3,
dec,26,6.5,1.6,3,2,
dec,27,4.8,0.7,3,2,
dec,28,5.3,1,3,2,
dec,29,8.2,2,4,2,
dec,30,12.6,5.7,5,3,
dec,31,13.1,6.3,5,3,
jan,1,8.2,5.7,4,3,
jan,2,12,5.1,4,3,
jan,3,10.2,7.1,4,3,
jan,4,11.5,5.5,4,3,
jan,5,7.5,1.6,3,2,
jan,6,4.6,0.9,3,2,
jan,7,4.8,-0.1,3,1,
jan,8,3.4,0.6,2,2,
jan,9,8.7,2.8,4,2,
jan,10,9.7,0.9,4,2,
jan,11,7.2,0.2,3,2,
jan,12,6.7,0.9,3,2,
jan,13,7.8,5,3,3,
jan,14,7.1,3.6,3,2,
jan,15,10.2,6.6,4,3,
jan,16,6.7,3.3,3,2,
jan,17,9.8,2.8,4,2,
jan,18,10.8,3.4,4,2,
jan,19,7.7,2.8,3,2,
jan,20,6.6,2.8,3,2,
jan,21,10.4,2.5,4,2,
jan,22,9.4,7.2,4,3,
jan,23,13.6,8.4,5,4,
jan,24,13.3,6.8,5,3,
